CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2023-01,2.0,1.0,1.0,1.0,,,2.0,,,1.0,1.0,,,,,,1.0,,1.0,,2.0,1.0,
2023-02,8.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,2.0,3.0,5.0,3.0,5.0,4.0,3.0,,4.0,3.0,2.0,2.0,4.0,3.0
2023-03,11.0,5.0,4.0,2.0,4.0,2.0,1.0,6.0,4.0,4.0,5.0,1.0,5.0,2.0,6.0,6.0,2.0,4.0,6.0,5.0,3.0,6.0,
2023-04,15.0,5.0,4.0,7.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,6.0,2.0,7.0,6.0,4.0,3.0,8.0,10.0,7.0,5.0,,
2023-05,14.0,5.0,7.0,9.0,5.0,4.0,4.0,3.0,5.0,7.0,7.0,5.0,4.0,5.0,7.0,6.0,6.0,5.0,4.0,5.0,,,
2023-06,21.0,5.0,8.0,6.0,10.0,14.0,10.0,7.0,7.0,8.0,6.0,9.0,11.0,11.0,12.0,8.0,10.0,7.0,10.0,,,,
2023-07,18.0,10.0,6.0,2.0,9.0,10.0,7.0,10.0,8.0,7.0,8.0,4.0,6.0,7.0,12.0,7.0,5.0,9.0,,,,,
2023-08,27.0,10.0,7.0,12.0,10.0,9.0,7.0,12.0,13.0,9.0,7.0,14.0,11.0,14.0,14.0,9.0,8.0,,,,,,
2023-09,15.0,7.0,5.0,5.0,5.0,7.0,9.0,6.0,3.0,8.0,10.0,8.0,6.0,5.0,7.0,10.0,,,,,,,
2023-10,18.0,10.0,12.0,9.0,6.0,11.0,6.0,9.0,7.0,7.0,9.0,10.0,10.0,8.0,7.0,,,,,,,,
2023-11,22.0,11.0,12.0,11.0,12.0,11.0,13.0,9.0,13.0,8.0,10.0,11.0,10.0,14.0,,,,,,,,,
2023-12,20.0,9.0,14.0,11.0,12.0,11.0,8.0,14.0,7.0,14.0,15.0,13.0,10.0,,,,,,,,,,
2024-01,26.0,15.0,16.0,14.0,14.0,13.0,15.0,11.0,12.0,10.0,16.0,14.0,,,,,,,,,,,
2024-02,18.0,11.0,13.0,12.0,12.0,13.0,9.0,10.0,8.0,10.0,11.0,,,,,,,,,,,,
2024-03,25.0,14.0,18.0,13.0,18.0,19.0,13.0,14.0,14.0,17.0,,,,,,,,,,,,,
2024-04,22.0,13.0,16.0,13.0,15.0,14.0,15.0,14.0,15.0,,,,,,,,,,,,,,
2024-05,28.0,16.0,17.0,16.0,18.0,21.0,24.0,18.0,,,,,,,,,,,,,,,
2024-06,27.0,20.0,17.0,16.0,18.0,22.0,20.0,,,,,,,,,,,,,,,,
2024-07,28.0,27.0,20.0,24.0,22.0,23.0,,,,,,,,,,,,,,,,,
2024-08,20.0,16.0,17.0,16.0,17.0,,,,,,,,,,,,,,,,,,
2024-09,31.0,28.0,27.0,30.0,,,,,,,,,,,,,,,,,,,
2024-10,23.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,
2024-11,36.0,36.0,,,,,,,,,,,,,,,,,,,,,
2024-12,25.0,,,,,,,,,,,,,,,,,,,,,,
