account_id,AverageRevenue,PurchaseFrequency,PlanTier,CLTV
A-d4e0d4,13806.0,10,Enterprise,138060.0
A-5b1bcd,8886.533333333333,15,Enterprise,133298.0
A-5a215a,7230.666666666667,18,Pro,130152.0
A-1f0636,8610.0,11,Pro,94710.0
A-4814a3,7996.090909090909,11,Pro,87957.0
A-5c046d,10485.75,8,Basic,83886.0
A-18793f,7144.363636363636,11,Basic,78588.0
A-30b4ca,9492.25,8,Pro,75938.0
A-e08cd3,6456.363636363636,11,Pro,71020.0
A-c58f49,10140.0,7,Enterprise,70980.0
A-09316c,6363.636363636364,11,Pro,70000.0
A-fa3095,5769.166666666667,12,Enterprise,69230.0
A-66224b,5765.333333333333,12,Basic,69184.0
A-80eeb6,4280.5625,16,Pro,68489.0
A-afa505,7334.444444444444,9,Enterprise,66010.0
A-2d1036,4973.307692307692,13,Pro,64653.0
A-40906c,5366.666666666667,12,Enterprise,64400.0
A-0cc442,4764.2307692307695,13,Pro,61935.0
A-76fa4d,8812.285714285714,7,Pro,61686.0
A-aa9511,4064.6666666666665,15,Enterprise,60970.0
