CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2023-01,100.0,50.0,50.0,50.0,,,100.0,,,50.0,50.0,,,,,,50.0,,50.0,,100.0,50.0,
2023-02,100.0,50.0,50.0,37.5,50.0,25.0,37.5,37.5,62.5,25.0,37.5,62.5,37.5,62.5,50.0,37.5,,50.0,37.5,25.0,25.0,50.0,37.5
2023-03,100.0,45.5,36.4,18.2,36.4,18.2,9.1,54.50000000000001,36.4,36.4,45.5,9.1,45.5,18.2,54.50000000000001,54.50000000000001,18.2,36.4,54.50000000000001,45.5,27.3,54.50000000000001,
2023-04,100.0,33.300000000000004,26.700000000000003,46.7,26.700000000000003,33.300000000000004,33.300000000000004,20.0,33.300000000000004,26.700000000000003,33.300000000000004,40.0,13.3,46.7,40.0,26.700000000000003,20.0,53.300000000000004,66.7,46.7,33.300000000000004,,
2023-05,100.0,35.699999999999996,50.0,64.3,35.699999999999996,28.599999999999998,28.599999999999998,21.4,35.699999999999996,50.0,50.0,35.699999999999996,28.599999999999998,35.699999999999996,50.0,42.9,42.9,35.699999999999996,28.599999999999998,35.699999999999996,,,
2023-06,100.0,23.799999999999997,38.1,28.599999999999998,47.599999999999994,66.7,47.599999999999994,33.300000000000004,33.300000000000004,38.1,28.599999999999998,42.9,52.400000000000006,52.400000000000006,57.099999999999994,38.1,47.599999999999994,33.300000000000004,47.599999999999994,,,,
2023-07,100.0,55.60000000000001,33.300000000000004,11.1,50.0,55.60000000000001,38.9,55.60000000000001,44.4,38.9,44.4,22.2,33.300000000000004,38.9,66.7,38.9,27.800000000000004,50.0,,,,,
2023-08,100.0,37.0,25.900000000000002,44.4,37.0,33.300000000000004,25.900000000000002,44.4,48.1,33.300000000000004,25.900000000000002,51.9,40.699999999999996,51.9,51.9,33.300000000000004,29.599999999999998,,,,,,
2023-09,100.0,46.7,33.300000000000004,33.300000000000004,33.300000000000004,46.7,60.0,40.0,20.0,53.300000000000004,66.7,53.300000000000004,40.0,33.300000000000004,46.7,66.7,,,,,,,
2023-10,100.0,55.60000000000001,66.7,50.0,33.300000000000004,61.1,33.300000000000004,50.0,38.9,38.9,50.0,55.60000000000001,55.60000000000001,44.4,38.9,,,,,,,,
2023-11,100.0,50.0,54.50000000000001,50.0,54.50000000000001,50.0,59.099999999999994,40.9,59.099999999999994,36.4,45.5,50.0,45.5,63.6,,,,,,,,,
2023-12,100.0,45.0,70.0,55.00000000000001,60.0,55.00000000000001,40.0,70.0,35.0,70.0,75.0,65.0,50.0,,,,,,,,,,
2024-01,100.0,57.699999999999996,61.5,53.800000000000004,53.800000000000004,50.0,57.699999999999996,42.3,46.2,38.5,61.5,53.800000000000004,,,,,,,,,,,
2024-02,100.0,61.1,72.2,66.7,66.7,72.2,50.0,55.60000000000001,44.4,55.60000000000001,61.1,,,,,,,,,,,,
2024-03,100.0,56.00000000000001,72.0,52.0,72.0,76.0,52.0,56.00000000000001,56.00000000000001,68.0,,,,,,,,,,,,,
2024-04,100.0,59.099999999999994,72.7,59.099999999999994,68.2,63.6,68.2,63.6,68.2,,,,,,,,,,,,,,
2024-05,100.0,57.099999999999994,60.699999999999996,57.099999999999994,64.3,75.0,85.7,64.3,,,,,,,,,,,,,,,
2024-06,100.0,74.1,63.0,59.3,66.7,81.5,74.1,,,,,,,,,,,,,,,,
2024-07,100.0,96.39999999999999,71.39999999999999,85.7,78.60000000000001,82.1,,,,,,,,,,,,,,,,,
2024-08,100.0,80.0,85.0,80.0,85.0,,,,,,,,,,,,,,,,,,
2024-09,100.0,90.3,87.1,96.8,,,,,,,,,,,,,,,,,,,
2024-10,100.0,95.7,95.7,,,,,,,,,,,,,,,,,,,,
2024-11,100.0,100.0,,,,,,,,,,,,,,,,,,,,,
2024-12,100.0,,,,,,,,,,,,,,,,,,,,,,
