account_id,AverageRevenue,PurchaseFrequency,PlanTier,CLTV
A-00bed1,3350.6,10,Enterprise,33506.0
A-00cac8,1569.0,9,Enterprise,14121.0
A-0158bb,678.3333333333334,6,Enterprise,4070.0
A-016043,1501.4545454545455,11,Enterprise,16516.0
A-019782,928.1111111111111,9,Enterprise,8353.0
A-029f69,914.875,16,Enterprise,14638.0
A-02cd81,2354.0,14,Enterprise,32956.0
A-02fac6,2400.909090909091,11,Enterprise,26410.0
A-034368,2238.8,5,Basic,11194.0
A-0354fe,2210.0,7,Basic,15470.0
A-038089,701.3333333333334,3,Pro,2104.0
A-039727,2428.0,15,Enterprise,36420.0
A-0532a9,1516.1,10,Pro,15161.0
A-054577,2787.5625,16,Pro,44601.0
A-05d3b3,970.0,13,Pro,12610.0
A-05f0e5,4259.083333333333,12,Enterprise,51109.0
A-0651a4,2970.9333333333334,15,Enterprise,44564.0
A-068fc6,2908.5,10,Pro,29085.0
A-075038,1350.642857142857,14,Pro,18909.0
A-089363,1507.4285714285713,14,Basic,21104.0
A-08e34e,1983.7272727272727,11,Pro,21821.0
A-09316c,6363.636363636364,11,Pro,70000.0
A-09540c,3953.0,6,Pro,23718.0
A-098560,1120.5454545454545,11,Enterprise,12326.0
A-0a282f,1219.0666666666666,15,Pro,18286.0
A-0a62f5,1215.25,4,Pro,4861.0
A-0aaf6e,2676.0,9,Basic,24084.0
A-0b0d6d,2576.230769230769,13,Basic,33491.0
A-0baac2,3083.3333333333335,6,Basic,18500.0
A-0be015,235.6,5,Basic,1178.0
A-0cc442,4764.2307692307695,13,Pro,61935.0
A-0dbdc6,3141.4444444444443,9,Pro,28273.0
A-0e966d,1131.3636363636363,11,Enterprise,12444.999999999998
A-0f3e88,511.27272727272725,11,Pro,5624.0
A-0f6450,2163.6363636363635,11,Enterprise,23800.0
A-0f7d77,387.6666666666667,6,Basic,2326.0
A-104f1a,1577.125,8,Basic,12617.0
A-10b8da,1464.5,6,Enterprise,8787.0
A-10b8f2,2559.9166666666665,12,Basic,30719.0
A-117171,2403.0,5,Basic,12015.0
A-118d55,1993.25,12,Enterprise,23919.0
A-118f1c,6520.0,8,Enterprise,52160.0
