account_id,total_mrr,total_months,estimated_cltv,cltv_segment
A-00bed1,33506.0,246.4,33506.0,High
A-00cac8,14121.0,225.3,14121.0,Medium
A-0158bb,4070.0,130.3,4070.0,Low
A-016043,16516.0,206.7,16516.0,Medium
A-019782,8353.0,238.1,8353.0,Low
A-029f69,14638.0,275.1,14638.0,Medium
A-02cd81,32956.0,319.1,32956.0,High
A-02fac6,26410.0,275.4,26410.0,High
A-034368,11194.0,113.4,11194.0,Low
A-0354fe,15470.0,116.1,15470.0,Medium
A-038089,2104.0,65.6,2104.0,Low
A-039727,36420.0,267.8,36420.0,High
A-0532a9,15161.0,196.7,15161.0,Medium
A-054577,44601.0,335.0,44601.0,High
A-05d3b3,12610.0,345.2,12610.0,Low
A-05f0e5,51109.0,327.8,51109.0,High
A-0651a4,44564.0,266.5,44564.0,High
A-068fc6,29085.0,227.2,29085.0,High
A-075038,18909.0,382.5,18909.0,Medium
A-089363,21104.0,317.1,21104.0,Medium
A-08e34e,21821.0,233.6,21821.0,Medium
A-09316c,70000.0,217.5,70000.0,High
A-09540c,23718.0,116.6,23718.0,Medium
A-098560,12326.0,248.9,12326.0,Low
A-0a282f,18286.0,243.1,18286.0,Medium
A-0a62f5,4861.0,79.1,4861.0,Low
A-0aaf6e,24084.0,169.6,24084.0,Medium
A-0b0d6d,33491.0,198.4,33491.0,High
A-0baac2,18500.0,81.6,18500.0,Medium
A-0be015,1178.0,76.4,1178.0,Low
A-0cc442,61935.0,233.2,61935.0,High
A-0dbdc6,28273.0,231.4,28273.0,High
A-0e966d,12445.0,212.8,12445.0,Low
A-0f3e88,5624.0,268.5,5624.0,Low
A-0f6450,23800.0,199.0,23800.0,Medium
A-0f7d77,2326.0,95.0,2326.0,Low
A-104f1a,12617.0,141.9,12617.0,Low
A-10b8da,8787.0,142.6,8787.0,Low
A-10b8f2,30719.0,367.3,30719.0,High
A-117171,12015.0,80.4,12015.0,Low
A-118d55,23919.0,207.4,23919.0,Medium
A-118f1c,52160.0,113.9,52160.0,High
A-13466a,13343.0,71.7,13343.0,Low
A-139c3b,9027.0,112.5,9027.0,Low
A-149a69,8058.0,55.9,8058.0,Low
A-151c9a,14250.0,151.0,14250.0,Medium
A-157070,27506.0,301.9,27506.0,High
A-158f4e,43859.0,326.2,43859.0,High
A-1619f8,19790.0,151.2,19790.0,Medium
A-17939a,9669.0,163.1,9669.0,Low
A-180abf,37312.0,158.6,37312.0,High
A-186a44,20989.0,305.7,20989.0,Medium
A-18793f,78588.0,182.9,78588.0,High
A-1986ca,27661.0,187.9,27661.0,High
A-19b2c8,26703.0,382.7,26703.0,High
A-1ac5e0,18249.0,192.2,18249.0,Medium
A-1b707d,9332.0,179.6,9332.0,Low
A-1b7577,8771.0,172.5,8771.0,Low
A-1b9609,16810.0,265.7,16810.0,Medium
A-1d5444,30958.0,337.8,30958.0,High
A-1e1b80,48647.0,321.3,48647.0,High
A-1e50e0,13295.0,123.9,13295.0,Low
A-1e6fc3,444.0,70.3,444.0,Low
A-1f0636,94710.0,249.4,94710.0,High
A-1f0ac7,9275.0,173.2,9275.0,Low
A-1f559b,11756.0,213.8,11756.0,Low
A-1f7acb,46912.0,215.1,46912.0,High
A-202b67,18168.0,196.0,18168.0,Medium
A-20736a,40525.0,152.4,40525.0,High
A-22d9d2,18746.0,266.0,18746.0,Medium
A-22f2df,7451.0,164.5,7451.0,Low
A-241e75,3594.0,109.8,3594.0,Low
A-2446e3,24138.0,162.7,24138.0,Medium
A-249769,15717.0,286.1,15717.0,Medium
A-271f46,19604.0,221.3,19604.0,Medium
A-2789e3,24489.0,241.0,24489.0,Medium
A-2922b6,10669.0,93.1,10669.0,Low
A-296d7c,1989.0,165.4,1989.0,Low
A-297a2d,14373.0,138.7,14373.0,Medium
A-2b9d3e,5142.0,225.6,5142.0,Low
A-2bc93d,32394.0,332.8,32394.0,High
A-2d1036,64653.0,223.8,64653.0,High
A-2d4502,29071.0,215.9,29071.0,High
A-2e3bad,45872.0,207.9,45872.0,High
A-2e4581,12603.0,194.0,12603.0,Low
A-2ebb4b,30688.0,267.5,30688.0,High
A-2edab2,11390.0,234.0,11390.0,Low
A-2f6a32,7513.0,181.2,7513.0,Low
A-309e54,28549.0,183.4,28549.0,High
A-30b4ca,75938.0,189.6,75938.0,High
A-310452,11003.0,90.6,11003.0,Low
A-313be3,19006.0,260.5,19006.0,Medium
A-31ab9a,15802.0,160.5,15802.0,Medium
A-32728c,4498.0,223.2,4498.0,Low
A-328bd0,15979.0,314.0,15979.0,Medium
A-32fb14,10162.0,202.1,10162.0,Low
A-331424,6776.0,133.1,6776.0,Low
A-337bc1,19379.0,181.6,19379.0,Medium
A-342303,1695.0,68.9,1695.0,Low
A-34d880,20964.0,191.6,20964.0,Medium
A-34ea2f,14583.0,207.5,14583.0,Medium
A-35083d,32433.0,405.4,32433.0,High
A-354f12,8889.0,88.5,8889.0,Low
A-378b99,12116.0,223.8,12116.0,Low
A-3793ee,26705.0,173.8,26705.0,High
A-37f969,22959.0,219.1,22959.0,Medium
A-3932db,14087.0,187.7,14087.0,Medium
A-396e5f,10236.0,200.3,10236.0,Low
A-39868b,4194.0,115.3,4194.0,Low
A-39b19f,21237.0,261.6,21237.0,Medium
A-39ddf4,35836.0,147.1,35836.0,High
A-3a5ad8,28701.0,320.9,28701.0,High
A-3a7284,35519.0,168.6,35519.0,High
A-3b37d9,19435.0,195.4,19435.0,Medium
A-3b5cd1,23676.0,355.6,23676.0,Medium
A-3be56b,17040.0,250.9,17040.0,Medium
A-3c1a3f,14909.0,271.3,14909.0,Medium
A-3cc791,8522.0,201.6,8522.0,Low
A-3ce5b8,16650.0,226.8,16650.0,Medium
A-3d957b,11852.0,114.5,11852.0,Low
A-3f9cc0,19940.0,166.3,19940.0,Medium
A-40906c,64400.0,264.5,64400.0,High
A-40a557,23324.0,184.4,23324.0,Medium
A-40de06,28862.0,404.2,28862.0,High
A-410e86,15960.0,94.4,15960.0,Medium
A-417d2f,22933.0,382.4,22933.0,Medium
A-425e76,17111.0,289.0,17111.0,Medium
A-427b69,19958.0,180.3,19958.0,Medium
A-42b791,19060.0,122.9,19060.0,Medium
A-42e5e1,8916.0,128.8,8916.0,Low
A-432483,25813.0,190.9,25813.0,High
A-439b2f,1796.0,121.8,1796.0,Low
A-43a9e3,10004.0,232.3,10004.0,Low
A-4437e4,17831.0,376.9,17831.0,Medium
A-443b7c,24062.0,284.0,24062.0,Medium
A-443f6f,13594.0,147.9,13594.0,Low
A-44dc83,456.0,86.3,456.0,Low
A-45ce7a,8216.0,159.2,8216.0,Low
A-462d45,23432.0,258.6,23432.0,Medium
A-463db0,13266.0,128.8,13266.0,Low
A-474ad4,12125.0,342.0,12125.0,Low
A-4814a3,87957.0,198.8,87957.0,High
A-484819,20604.0,190.8,20604.0,Medium
A-49b828,31108.0,396.7,31108.0,High
A-4a267b,29687.0,181.0,29687.0,High
A-4a4c2d,33966.0,345.6,33966.0,High
A-4ae22a,9432.0,129.6,9432.0,Low
A-4bfa33,5606.0,111.5,5606.0,Low
A-4c38bc,48060.0,339.2,48060.0,High
A-4c56c9,30471.0,220.8,30471.0,High
A-4c6f11,7586.0,124.6,7586.0,Low
A-4d1e75,31390.0,263.8,31390.0,High
A-4e0e85,4544.0,194.2,4544.0,Low
A-4e44e8,36445.0,250.9,36445.0,High
A-4e631b,24398.0,237.2,24398.0,Medium
A-4e960a,23942.0,293.3,23942.0,Medium
A-4ef964,14279.0,185.0,14279.0,Medium
A-4f18f0,30264.0,213.3,30264.0,High
A-503d5a,17884.0,312.6,17884.0,Medium
A-508199,8436.0,131.2,8436.0,Low
A-50bb9f,17263.0,147.3,17263.0,Medium
A-50f3f7,44077.0,356.2,44077.0,High
A-51ec1b,11087.0,101.2,11087.0,Low
A-524364,9552.0,108.0,9552.0,Low
A-5247b3,11791.0,238.2,11791.0,Low
A-526d93,39201.0,189.5,39201.0,High
A-52dd88,16592.0,305.5,16592.0,Medium
A-533452,20664.0,189.9,20664.0,Medium
A-53f4e3,15072.0,184.3,15072.0,Medium
A-544d0a,18492.0,216.9,18492.0,Medium
A-54d94a,12557.0,245.3,12557.0,Low
A-54ecc2,16168.0,286.6,16168.0,Medium
A-558c72,9171.0,168.4,9171.0,Low
A-55f257,12137.0,267.0,12137.0,Low
A-560d27,41641.0,235.7,41641.0,High
A-56962b,54605.0,132.5,54605.0,High
A-5790f4,18926.0,91.4,18926.0,Medium
A-58b9ff,22642.0,267.8,22642.0,Medium
A-592832,32571.0,318.2,32571.0,High
A-59f724,9773.0,298.8,9773.0,Low
A-5a184f,20683.0,266.8,20683.0,Medium
A-5a215a,130152.0,311.2,130152.0,High
A-5a3eb9,20293.0,311.9,20293.0,Medium
A-5a92e7,12671.0,367.4,12671.0,Low
A-5b051a,2332.0,61.0,2332.0,Low
A-5b1bcd,133298.0,380.5,133298.0,High
A-5b4ebb,27803.0,251.3,27803.0,High
A-5c046d,83886.0,161.8,83886.0,High
A-5c9849,36755.0,153.3,36755.0,High
A-5ed98d,15478.0,168.0,15478.0,Medium
A-5f2961,10299.0,131.4,10299.0,Low
A-5f7781,10252.0,105.0,10252.0,Low
A-5fe118,22290.0,93.8,22290.0,Medium
A-600734,18132.0,280.8,18132.0,Medium
A-625d0b,11893.0,198.6,11893.0,Low
A-659280,21450.0,306.7,21450.0,Medium
A-65a46c,22675.0,178.7,22675.0,Medium
A-65aeb5,34392.0,225.0,34392.0,High
A-65c341,30546.0,145.4,30546.0,High
A-66224b,69184.0,209.9,69184.0,High
A-671f31,30385.0,112.2,30385.0,High
A-67be94,21930.0,170.0,21930.0,Medium
A-684255,11844.0,256.7,11844.0,Low
A-6843f2,16520.0,165.6,16520.0,Medium
A-68f37c,32270.0,292.1,32270.0,High
A-692f18,30550.0,374.2,30550.0,High
A-6965e1,27765.0,222.5,27765.0,High
A-69b156,14293.0,170.3,14293.0,Medium
A-69fad4,8721.0,167.5,8721.0,Low
A-6a4e2d,10394.0,269.1,10394.0,Low
A-6a7c9d,13028.0,76.0,13028.0,Low
A-6c093d,16242.0,259.4,16242.0,Medium
A-6da850,18559.0,344.4,18559.0,Medium
A-6dee43,22770.0,271.4,22770.0,Medium
A-6e08f3,18190.0,252.2,18190.0,Medium
A-6e7827,8344.0,224.1,8344.0,Low
A-6f50ae,26608.0,359.6,26608.0,High
A-6f8ad2,25928.0,318.1,25928.0,High
A-700ade,16875.0,116.4,16875.0,Medium
A-702032,8540.0,88.0,8540.0,Low
A-712426,11197.0,245.4,11197.0,Low
A-712533,19382.0,305.6,19382.0,Medium
A-712f1c,42999.0,284.6,42999.0,High
A-71615e,40713.0,280.4,40713.0,High
A-716841,26234.0,178.1,26234.0,High
A-726cfa,34782.0,480.0,34782.0,High
A-72799b,17315.0,243.2,17315.0,Medium
A-751bd4,190.0,41.6,190.0,Low
A-751c58,19597.0,230.3,19597.0,Medium
A-756192,21400.0,238.9,21400.0,Medium
A-7641d3,12060.0,300.9,12060.0,Low
A-76fa4d,61686.0,96.3,61686.0,High
A-779e4e,28081.0,269.4,28081.0,High
A-781cc0,18315.0,290.5,18315.0,Medium
A-78f02b,15081.0,76.3,15081.0,Medium
A-7920cc,52089.0,410.6,52089.0,High
A-794a0b,10575.0,194.5,10575.0,Low
A-7988d1,10692.0,190.3,10692.0,Low
A-798a3f,14152.0,184.9,14152.0,Medium
A-7a0d69,10362.0,232.9,10362.0,Low
A-7c4956,3409.0,164.4,3409.0,Low
A-7c5768,3389.0,199.6,3389.0,Low
A-7c6b6b,4818.0,92.9,4818.0,Low
A-7c83a1,16731.0,205.7,16731.0,Medium
A-7cfe77,12765.0,106.3,12765.0,Low
A-7d514c,24274.0,194.3,24274.0,Medium
A-7da956,10963.0,222.7,10963.0,Low
A-7dacce,23057.0,200.2,23057.0,Medium
A-7df7a7,29155.0,418.0,29155.0,High
A-7e0a10,41116.0,272.6,41116.0,High
A-7f29a7,18860.0,158.7,18860.0,Medium
A-7f4db3,26276.0,365.2,26276.0,High
A-7f6b86,19402.0,210.9,19402.0,Medium
A-7f8241,39516.0,461.3,39516.0,High
A-80eeb6,68489.0,370.9,68489.0,High
A-812c5b,29884.0,283.6,29884.0,High
A-8145a0,17260.0,309.5,17260.0,Medium
A-81edc3,17524.0,303.8,17524.0,Medium
A-82861f,43633.0,168.5,43633.0,High
A-82d8a6,27966.0,240.5,27966.0,High
A-832ec2,9299.0,203.4,9299.0,Low
A-84ebe4,27994.0,273.3,27994.0,High
A-854864,14759.0,92.0,14759.0,Medium
A-855a48,30376.0,211.7,30376.0,High
A-856b1e,6321.0,171.6,6321.0,Low
A-86902e,36041.0,254.0,36041.0,High
A-86cdb4,3551.0,138.9,3551.0,Low
A-86fc1d,15181.0,144.4,15181.0,Medium
A-87aa7b,22881.0,357.4,22881.0,Medium
A-883b7d,30524.0,269.4,30524.0,High
A-88c6ca,6449.0,133.5,6449.0,Low
A-89ee83,24907.0,173.9,24907.0,High
A-8adedc,28328.0,306.0,28328.0,High
A-8ae05d,26230.0,134.7,26230.0,High
A-8ae3fc,4447.0,169.5,4447.0,Low
A-8b0451,31709.0,178.7,31709.0,High
A-8b25f2,14048.0,255.4,14048.0,Medium
A-8bde0c,34198.0,298.1,34198.0,High
A-8e47ca,28120.0,207.9,28120.0,High
A-8ed5dd,11956.0,302.4,11956.0,Low
A-902ef7,44322.0,156.4,44322.0,High
A-9077b0,3565.0,98.7,3565.0,Low
A-90a8c8,26514.0,145.4,26514.0,High
A-9123ac,14751.0,179.2,14751.0,Medium
A-9174e0,53976.0,259.0,53976.0,High
A-91e948,21894.0,201.6,21894.0,Medium
A-9208f0,3511.0,230.5,3511.0,Low
A-922109,14118.0,275.5,14118.0,Medium
A-9289f6,13096.0,277.8,13096.0,Low
A-92a333,10659.0,173.8,10659.0,Low
A-92a3af,34538.0,235.0,34538.0,High
A-940b8b,9640.0,191.1,9640.0,Low
A-94c3cd,9036.0,135.2,9036.0,Low
A-94d3da,22673.0,327.6,22673.0,Medium
A-94f8c9,31989.0,329.9,31989.0,High
A-956988,29407.0,224.0,29407.0,High
A-95b24a,25034.0,322.9,25034.0,High
A-96215d,10312.0,127.3,10312.0,Low
A-96bbc6,30426.0,174.8,30426.0,High
A-96e141,15468.0,162.2,15468.0,Medium
A-970c97,15381.0,161.1,15381.0,Medium
A-9779ad,51680.0,227.0,51680.0,High
A-977ca0,30055.0,446.5,30055.0,High
A-98a59a,36456.0,272.0,36456.0,High
A-993085,48456.0,404.1,48456.0,High
A-9a532a,10945.0,85.1,10945.0,Low
A-9affe6,10636.0,278.2,10636.0,Low
A-9b9fe9,19725.0,279.4,19725.0,Medium
A-9badbd,32477.0,235.8,32477.0,High
A-9bfc9f,15342.0,221.6,15342.0,Medium
A-9c18c4,17823.0,235.8,17823.0,Medium
A-9ee962,9420.0,217.4,9420.0,Low
A-9f0b68,28518.0,262.1,28518.0,High
A-9f2731,3613.0,139.5,3613.0,Low
A-9f9299,42403.0,302.9,42403.0,High
A-a09355,34140.0,301.3,34140.0,High
A-a0ca4e,16633.0,204.5,16633.0,Medium
